,txHash,gasLimit,gasUsed,gasPrice,timestamp,blockNumber,from,to,_setToken,_sellComponent,_buyComponent,_exchangeAdapter,_executor,_netAmountSold,_netAmountReceived,_protocolFee,datetime,sellDecimals,sellSymbol,tokenAddress_y,buyDecimals,buySymbol,uniquePriceQueriesPK,approxUSDNotional_y,approxUSDNotional,_setTokenSymbol
0,0x2d3ae62a7ebe46b7b496056e6414250645fd8e2c16e574e9663ad7eb8d48a563,750000,438697,51000000000,1627938145,12948233,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x480bc4791fb4b40ad171a706d73e36cb8954dd0c,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,33509.939736728615,288.0614486716732,0,02-08-2021,18,UNI,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984_02-08-2021,22.050857431867442,738922.9036850723,DPI
1,0x5e4b341e181a39188eefb098c6df4dc294d05750306fe1a727e6bf2a866421c6,750000,305567,53000000000,1627938193,12948235,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbfad1987608a38bfa0fe4c5510c1af834ae21379,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,5.730480476149964,70.61073494825816,0,02-08-2021,18,YFI,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e_02-08-2021,31736.488261256196,181865.32636269115,DPI
2,0x1bdedc34e81aaf10f154eb294e17297500f4242954dfa348bf0e36db2445af0e,750000,370601,49000000000,1627938235,12948239,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x480bc4791fb4b40ad171a706d73e36cb8954dd0c,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,48.81,54.66928541470319,0,02-08-2021,18,MKR,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2_02-08-2021,2920.7134969181716,142560.02578457596,DPI
3,0x98714725fba5970fc2610f9b862d1292d6c5ad675c8baec0bf104ac12cb6c7d2,750000,459516,49000000000,1627941477,12948476,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbfad1987608a38bfa0fe4c5510c1af834ae21379,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,551.8017102202297,67.682316169608,0,02-08-2021,18,AAVE,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9_02-08-2021,316.8675584786699,174848.0606818387,DPI
4,0xdd942a135dccd7202131ad364e15d35444f41a89c482e5686f606a528db6c239,750000,346228,40000000000,1627941519,12948483,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe5bf6376959b4b1bc0812c466c30f683e0c7af09,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,61039.87,37.25110082162336,0,02-08-2021,18,KNC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202_02-08-2021,1.5552041447139051,94929.45881679795,DPI
5,0x304767ee5663689805ae9254027bfcde71dd03c2514e6af1afd2163bb4a12480,750000,306935,50000000000,1627941551,12948486,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x408e41876cccdc0f92210600ef50372656052a38,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xbfad1987608a38bfa0fe4c5510c1af834ae21379,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,48296.55,8.039376265947876,0,02-08-2021,18,REN,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,0x408e41876cccdc0f92210600ef50372656052a38_02-08-2021,0.43425391095832777,20972.965723294426,DPI
6,0xe9be9f5aa5eac8cfbf1a2f5b96c9bd7fd14177cdcc8299757b5130f831942233,750000,303158,50000001459,1627941566,12948487,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0d4406736a8e336966f09811acb9e035bfd85a33,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,16326.19,1.5743463614197943,0,02-08-2021,18,LRC,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd_02-08-2021,0.2496904781547811,4076.4941875458057,DPI
7,0xd2e8cf0e9872ee6ceb0e274edf33c0bce8d510415dfe1cc019a3a7480b06de18,750000,467539,50000001459,1627941608,12948490,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xba100000625a3754423978a60c9317c58a424e3d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x031a90be7f519af6f49c8cbaaa44e4ff806bea30,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,720.9178232752189,6.025466652756724,0,02-08-2021,18,BAL,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,0xba100000625a3754423978a60c9317c58a424e3d_02-08-2021,21.38592284011486,15417.49294262739,DPI
8,0x38b943a1b5665363b533ed588f50bf8f756a154989fb519e5d372cf318156cf7,750000,305423,47000000000,1627941637,12948493,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0d4406736a8e336966f09811acb9e035bfd85a33,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,1902.8175905815115,0.5918617059758969,0,02-08-2021,18,MTA,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,WETH,0xa3bed4e1c75d00fa6f4e5e6922db7261b5e9acd2_02-08-2021,0.8017916826471,1525.6633177228507,DPI
9,0xba79d1c9d41496f741af67cb59f464c9446c7a6b345fb160a43a2409a12f2776,750000,551745,38500000000,1627941685,12948497,0x69Bdb276A17Dd90F9D3A545944CCB20E593ae8E3,0x84cE03AE547330f61584aD6103743732B1AE97C5,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x3472a5a71965499acd81997a54bba8d852c6e53d,0xbfad1987608a38bfa0fe4c5510c1af834ae21379,0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3,10.187654341536533,2491.26,0,02-08-2021,18,WETH,0x3472a5a71965499acd81997a54bba8d852c6e53d,18,BADGER,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2_02-08-2021,2553.6556579062785,26015.761150058228,DPI
